spotify_track_id,title,artist,album,release_date,popularity,duration_ms,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,sentiment_score,genres
6j5XX0wwygH7kqTWplx7j4,Money For Nothing - Edit,Dire Straits,Sultans Of Swing - The Very Best Of Dire Straits,1998-11-10,0,246840,134,81,67,81,7,0,10,4,-6 dB,0.0047730022006564,
05NEcj4geEg0JthGNSGUI7,Time After Time,Cyndi Lauper,Time After Time: The Best Of,2000-02-12,0,237866,130,45,73,29,49,0,8,3,-9 dB,-0.0111261564631794,
17q9gSD214wClyCjqrhmgH,Om du lämnade mig nu,Lars Winnerbäck,Daugava,2007-01-01,55,247426,108,48,49,46,27,1,12,3,-11 dB,0.0,
7afSN5zhUhkbpRFpYKYztK,The Reason,Hoobastank,The Reason,2003-01-01,0,232800,83,64,46,7,1,0,14,3,-6 dB,0.2301415055990219,
1pKYYY0dkg23sQQXi0Q5zN,Around the World,Daft Punk,Homework,1997-01-17,76,429533,121,80,96,84,0,89,9,15,-5 dB,0.4390701055526733,
0uIiMH63tVwLfmMt7OXx2h,Curly Sue,Takida,Bury The LIes,2007-05-28,0,233026,112,52,67,84,47,0,5,5,-12 dB,0.3282550349831581,
12qZHAeOyTf93YAWvGDTat,All The Small Things,blink-182,Enema Of The State,1999-01-01,4,168000,149,90,43,69,1,0,61,5,-5 dB,0.058324349588818,
4Jx56iDETiOYzYSgW1CcmM,IMPOSTOR,CA7RIEL & Paco Amoroso,PAPOTA,2025-03-06,65,157937,113,75,77,72,43,0,18,18,-6 dB,-0.1924567942468213,
69QHm3pustz01CJRwdo20z,Hells Bells,AC/DC,Back In Black,1980-07-25,78,312815,107,87,39,30,1,1,27,5,-5 dB,0.0452295057475566,
0C80GCp0mMuBzLf3EAXqxv,Shoot to Thrill,AC/DC,Back In Black,1980-07-25,76,318231,141,90,45,49,0,10,37,7,-5 dB,0.0558908193741204,
6Th6ND8RQPywiyelecP5Lf,What Do You Do for Money Honey,AC/DC,Back In Black,1980-07-25,58,215675,126,86,53,50,1,0,75,6,-5 dB,-0.0388327295842923,
6rAy2MsMUabbqu2VygrblP,Givin the Dog a Bone,AC/DC,Back In Black,1980-07-25,55,212400,133,98,53,74,7,0,23,6,-4 dB,-0.0129568395870072,
